en_name,fa_name
Āmol,آمل
Kabul,کابل
Balkh,بلخ
Ctesiphon,تیسفون
Sīstān,سیستان
Mazra‘eh-ye Nīmrūz,نیمروز
Herat,هرات
Kunduz,قندوز
Ghazni,غزنی
Bamyan,بامیان
Kandahar,قندهار
Kūhhā-ye Marv,مرو
Zībad,زیبد
Faryab,فاریاب
Bukhara,بخارا
Jammu and Kashmir,کشمیر
Termez,ترمذ
Badakhshan,بدخشان
Ahvaz,اهواز
Rey,ری
Damghan,دامغان
Arman',ارمان
Alanan,آلانان
Kannauj,قنوج
Baghdad,بغداد
Jerusalem,بیت‌المقدس
Hotan,ختن
Dehestān,دهستان
Sari,ساری
Taraz,طراز
Kerman,کرمان
Gorgan,گرگان
Gūrāb,گوراب
Ardabil,اردبیل
Isfahan,اصفهان
North Khorasan,خراسان
Samarkand,سمرقند
Levant,شام
Ostān-e Gīlān,گیلان
Makran,مکران
Neyshabur,نشاپور
Jahrom,جهرم
Aleppo,حلب
Iraq,عراق
Qaḩţān,قحطان
Mount Damavand,دماوند
Kūh-e Alborz,البرز کوه
Amu Darya,جیحون
Shahrestān-e Hīrmand,هیرمند
Arvand,اروند
Sindh,سند
Bīkand-e Kalamhadī,بیکند
Samangān,سمنگان
Egypt,مصر
Rome,روم
Yemen,یمن
China,چین
India,هند
Andalusia,اندلس
Bahrain,بحرین
Makkah,مکه
Jeddah,جده
Nile River,نیل